"GEO_ID","NAME","B25003_001E","B25003_001M","B25003_001MA","B25003_001EA","B25003_002E","B25003_002M","B25003_002MA","B25003_002EA","B25003_003E","B25003_003EA","B25003_003M","B25003_003MA",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Annotation of Margin of Error!!Total","Annotation of Estimate!!Total","Estimate!!Total!!Owner occupied","Margin of Error!!Total!!Owner occupied","Annotation of Margin of Error!!Total!!Owner occupied","Annotation of Estimate!!Total!!Owner occupied","Estimate!!Total!!Renter occupied","Annotation of Estimate!!Total!!Renter occupied","Margin of Error!!Total!!Renter occupied","Annotation of Margin of Error!!Total!!Renter occupied",
"1400000US42101017400","Census Tract 174, Philadelphia County, Pennsylvania","645","96","null","null","410","94","null","null","235","null","99","null",
"1400000US42101017500","Census Tract 175, Philadelphia County, Pennsylvania","2401","161","null","null","1218","182","null","null","1183","null","180","null",
"1400000US42101017601","Census Tract 176.01, Philadelphia County, Pennsylvania","1948","141","null","null","873","146","null","null","1075","null","158","null",
"1400000US42101017602","Census Tract 176.02, Philadelphia County, Pennsylvania","1136","127","null","null","537","90","null","null","599","null","118","null",
"1400000US42101017701","Census Tract 177.01, Philadelphia County, Pennsylvania","1084","142","null","null","399","133","null","null","685","null","146","null",
"1400000US42101017702","Census Tract 177.02, Philadelphia County, Pennsylvania","1352","157","null","null","533","127","null","null","819","null","157","null",
"1400000US42101017800","Census Tract 178, Philadelphia County, Pennsylvania","1917","169","null","null","913","154","null","null","1004","null","170","null",
"1400000US42101017900","Census Tract 179, Philadelphia County, Pennsylvania","1817","179","null","null","891","149","null","null","926","null","193","null",
"1400000US42101018001","Census Tract 180.01, Philadelphia County, Pennsylvania","1014","100","null","null","706","127","null","null","308","null","98","null",
"1400000US42101018002","Census Tract 180.02, Philadelphia County, Pennsylvania","2185","179","null","null","1683","204","null","null","502","null","181","null",
"1400000US42101018300","Census Tract 183, Philadelphia County, Pennsylvania","1605","70","null","null","1358","114","null","null","247","null","98","null",
"1400000US42101018400","Census Tract 184, Philadelphia County, Pennsylvania","788","61","null","null","665","85","null","null","123","null","70","null",
"1400000US42101018800","Census Tract 188, Philadelphia County, Pennsylvania","2540","240","null","null","1457","232","null","null","1083","null","216","null",
"1400000US42101019000","Census Tract 190, Philadelphia County, Pennsylvania","2443","151","null","null","1387","264","null","null","1056","null","236","null",
"1400000US42101019100","Census Tract 191, Philadelphia County, Pennsylvania","2559","151","null","null","2123","152","null","null","436","null","141","null",
"1400000US42101019200","Census Tract 192, Philadelphia County, Pennsylvania","2434","194","null","null","1378","233","null","null","1056","null","234","null",
"1400000US42101019501","Census Tract 195.01, Philadelphia County, Pennsylvania","1480","137","null","null","580","122","null","null","900","null","179","null",
"1400000US42101019502","Census Tract 195.02, Philadelphia County, Pennsylvania","1289","87","null","null","515","141","null","null","774","null","153","null",
"1400000US42101019700","Census Tract 197, Philadelphia County, Pennsylvania","2339","128","null","null","1146","198","null","null","1193","null","212","null",
"1400000US42101019800","Census Tract 198, Philadelphia County, Pennsylvania","1788","137","null","null","1110","159","null","null","678","null","163","null",
"1400000US42101019900","Census Tract 199, Philadelphia County, Pennsylvania","1424","116","null","null","796","159","null","null","628","null","156","null",
"1400000US42101020000","Census Tract 200, Philadelphia County, Pennsylvania","546","106","null","null","212","79","null","null","334","null","110","null",
"1400000US42101020101","Census Tract 201.01, Philadelphia County, Pennsylvania","1519","182","null","null","382","84","null","null","1137","null","180","null",
"1400000US42101020102","Census Tract 201.02, Philadelphia County, Pennsylvania","1336","121","null","null","637","126","null","null","699","null","168","null",
"1400000US42101020200","Census Tract 202, Philadelphia County, Pennsylvania","1999","203","null","null","1079","178","null","null","920","null","224","null",
"1400000US42101020300","Census Tract 203, Philadelphia County, Pennsylvania","1032","109","null","null","611","119","null","null","421","null","108","null",
"1400000US42101020400","Census Tract 204, Philadelphia County, Pennsylvania","1203","107","null","null","681","117","null","null","522","null","124","null",
"1400000US42101020500","Census Tract 205, Philadelphia County, Pennsylvania","1166","120","null","null","458","109","null","null","708","null","120","null",
"1400000US42101020600","Census Tract 206, Philadelphia County, Pennsylvania","829","104","null","null","290","83","null","null","539","null","102","null",
"1400000US42101020700","Census Tract 207, Philadelphia County, Pennsylvania","2189","195","null","null","1372","218","null","null","817","null","211","null",
"1400000US42101020800","Census Tract 208, Philadelphia County, Pennsylvania","1157","95","null","null","336","81","null","null","821","null","106","null",
"1400000US42101020900","Census Tract 209, Philadelphia County, Pennsylvania","1264","102","null","null","724","108","null","null","540","null","123","null",
"1400000US42101021000","Census Tract 210, Philadelphia County, Pennsylvania","1971","188","null","null","1272","186","null","null","699","null","181","null",
