"GEO_ID","NAME","H085001","H085001A",
"Geography","Label for GEO_ID","Median value","Annotation of Median value",
"1400000US42101030800","Census Tract 308, Philadelphia County, Pennsylvania","88000","null",
"1400000US42101030900","Census Tract 309, Philadelphia County, Pennsylvania","70400","null",
"1400000US42101031000","Census Tract 310, Philadelphia County, Pennsylvania","82400","null",
"1400000US42101031100","Census Tract 311, Philadelphia County, Pennsylvania","59600","null",
"1400000US42101031200","Census Tract 312, Philadelphia County, Pennsylvania","59000","null",
"1400000US42101031300","Census Tract 313, Philadelphia County, Pennsylvania","62100","null",
"1400000US42101031400","Census Tract 314, Philadelphia County, Pennsylvania","63200","null",
"1400000US42101031500","Census Tract 315, Philadelphia County, Pennsylvania","73200","null",
"1400000US42101031600","Census Tract 316, Philadelphia County, Pennsylvania","71800","null",
"1400000US42101031700","Census Tract 317, Philadelphia County, Pennsylvania","63000","null",
"1400000US42101031800","Census Tract 318, Philadelphia County, Pennsylvania","59100","null",
"1400000US42101031900","Census Tract 319, Philadelphia County, Pennsylvania","58800","null",
"1400000US42101032000","Census Tract 320, Philadelphia County, Pennsylvania","59500","null",
"1400000US42101032100","Census Tract 321, Philadelphia County, Pennsylvania","53600","null",
"1400000US42101032200","Census Tract 322, Philadelphia County, Pennsylvania","40800","null",
"1400000US42101032300","Census Tract 323, Philadelphia County, Pennsylvania","52500","null",
"1400000US42101032400","Census Tract 324, Philadelphia County, Pennsylvania","0","null",
"1400000US42101032500","Census Tract 325, Philadelphia County, Pennsylvania","60200","null",
"1400000US42101032600","Census Tract 326, Philadelphia County, Pennsylvania","67200","null",
"1400000US42101032700","Census Tract 327, Philadelphia County, Pennsylvania","35800","null",
"1400000US42101032800","Census Tract 328, Philadelphia County, Pennsylvania","0","null",
"1400000US42101032900","Census Tract 329, Philadelphia County, Pennsylvania","59600","null",
"1400000US42101033000","Census Tract 330, Philadelphia County, Pennsylvania","59700","null",
"1400000US42101033100","Census Tract 331, Philadelphia County, Pennsylvania","72600","null",
