"GEO_ID","NAME","B19113_001M","B19113_001MA","B19113_001E","B19113_001EA",
"1400000US42101020000","Census Tract 200, Philadelphia County, Pennsylvania","18612","null","40174","null",
"1400000US42101020101","Census Tract 201.01, Philadelphia County, Pennsylvania","8500","null","26362","null",
"1400000US42101020102","Census Tract 201.02, Philadelphia County, Pennsylvania","12866","null","39083","null",
"1400000US42101020200","Census Tract 202, Philadelphia County, Pennsylvania","5686","null","34089","null",
"1400000US42101020300","Census Tract 203, Philadelphia County, Pennsylvania","5677","null","29576","null",
"1400000US42101020400","Census Tract 204, Philadelphia County, Pennsylvania","5667","null","36943","null",
"1400000US42101020500","Census Tract 205, Philadelphia County, Pennsylvania","7156","null","28973","null",
"1400000US42101020600","Census Tract 206, Philadelphia County, Pennsylvania","72257","null","104479","null",
"1400000US42101020700","Census Tract 207, Philadelphia County, Pennsylvania","9797","null","99950","null",
"1400000US42101020800","Census Tract 208, Philadelphia County, Pennsylvania","28190","null","48259","null",
"1400000US42101020900","Census Tract 209, Philadelphia County, Pennsylvania","19710","null","71979","null",
"1400000US42101021000","Census Tract 210, Philadelphia County, Pennsylvania","15435","null","70865","null",
"1400000US42101021100","Census Tract 211, Philadelphia County, Pennsylvania","9729","null","75200","null",
"1400000US42101021200","Census Tract 212, Philadelphia County, Pennsylvania","11730","null","93750","null",
"1400000US42101021300","Census Tract 213, Philadelphia County, Pennsylvania","8333","null","62639","null",
"1400000US42101021400","Census Tract 214, Philadelphia County, Pennsylvania","4611","null","67647","null",
"1400000US42101021500","Census Tract 215, Philadelphia County, Pennsylvania","10061","null","64444","null",
"1400000US42101021600","Census Tract 216, Philadelphia County, Pennsylvania","10546","null","64000","null",
"1400000US42101021700","Census Tract 217, Philadelphia County, Pennsylvania","6983","null","94803","null",
"1400000US42101021800","Census Tract 218, Philadelphia County, Pennsylvania","4062","null","66350","null",
"1400000US42101021900","Census Tract 219, Philadelphia County, Pennsylvania","30540","null","86818","null",
